name,series
Marcos'55,#COMPASS
Maria =S= Leonburg,#COMPASS
Megumegu,#COMPASS
Ouka Tadaomi,#COMPASS
Reiya,#COMPASS
Ririka,#COMPASS
Ruruka,#COMPASS
Soubiki Noho,#COMPASS
Voidoll,#COMPASS
Abraham van Helsing (DRCL),#DRCL midnight children
Arthur Holmwood,#DRCL midnight children
Count Dracula (DRCL),#DRCL midnight children
Joe Suwa,#DRCL midnight children
Luke Westenra,#DRCL midnight children
Mina Murray (DRCL),#DRCL midnight children
Quincey Morris,#DRCL midnight children
Doha Kim,#Killstagram
Remi Do,#Killstagram
Jasper (#M),#Muted
Kai (#M),#Muted
Kentaro Ren,#SweetCinnamon
Yamamoto Gin,#SweetCinnamon
Chan,#TubeClash
Gronkh,#TubeClash
Hänno,#TubeClash
Horrorkissen,#TubeClash
iBlali,#TubeClash
Ju,#TubeClash
Kaddi,#TubeClash
Kelly MissesVlog,#TubeClash
Kurono,#TubeClash
LeFloid,#TubeClash
Manu,#TubeClash
Melina Sophie,#TubeClash
Paluten,#TubeClash
Stegi,#TubeClash
Zombey,#TubeClash
Cooro,+Anima
Husky,+Anima
Nana Alba,+Anima
Senri,+Anima
Cian Reikado,<harmony/>
Miach Mihie,<harmony/>
Tuan Kirie,<harmony/>
Daniel Lazarski,>observer_
Beru (MDW),~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.
Rurua (MDW),~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.
Yura (MDW),~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.
Hatsuko Kurosaki,~Boo! The Ghosts Away~
Herbert Tree,~Boo! The Ghosts Away~
An Intruder,🤔
Average Mudae Fan,🤔
Big Chungus,🤔
Bingus My Beloved,🤔
Bongo Cat,🤔
Chad Culo,🤔
Cheems,🤔
Coldsteel the Hedgeheg,🤔
Dancing Baby,🤔
Dat Boi,🤔
Derp,🤔
Derpina,🤔
Doge,🤔
El Hermano,🤔
El Pana Miguel,🤔
Garfielf,🤔
Gigachad,🤔
Gnot a Gnelf,🤔
Gohan Blanco,🤔
Graggle Simpson,🤔
Grumpy Cat,🤔
Handsome Caracal,🤔
Harambe,🤔
Harold,🤔
Howard the Alien,🤔
I'M A' FIRIN' MAH LAZER!!,🤔
Longcat,🤔
Lucky Luciano,🤔
MissingNo.,🤔
Moetron,🤔
Monke,🤔
Mr Face,🤔
Nelson the Bull Terrier,🤔
Nyan Cat,🤔
Pedobear,🤔
Pepe the Frog,🤔
Randall the Cloud,🤔
Ricardo Milos,🤔
Rick Astley,🤔
RNGesus,🤔
Sader,🤔
Sanic,🤔
Shy Gal,🤔
Stonks,🤔
TBH Creature,🤔
The Two-Winged Angel,🤔
Trollface,🤔
Trololo,🤔
Truck-kun,🤔
Ugandan Knuckles,🤔
Vivian James,🤔
Wojak,🤔
Makiko Hayashi,007: NightFire
Ayanami (07G),07-Ghost
Castor (07G),07-Ghost
Ea,07-Ghost
Eve (07G),07-Ghost
Frau,07-Ghost
Hakuren Oak,07-Ghost
Hyuuga (07G),07-Ghost
Konatsu Warren,07-Ghost
Kuroyuri (07G),07-Ghost
Labrador,07-Ghost
Landkarte,07-Ghost
Mikage Celestine,07-Ghost
Mikhail (07G),07-Ghost
Raphael (07G),07-Ghost
Razette,07-Ghost
Roseamanelle Ouka Barsburg,07-Ghost
Sister Athena,07-Ghost
Sister Rosalia,07-Ghost
Teito Klein,07-Ghost
Akira Mori,1 x ½
Asuka Mori,1 x ½
Ayako Mori,1 x ½
Maki Oda,1-nen A-gumi no Monster
Mari Banri,1-nen A-gumi no Monster
Momo Hananaka,1-nen A-gumi no Monster
Tarou Jimi,1-nen A-gumi no Monster
Gui,½ Prince
Lolidragon,½ Prince
Prince (1/2P),½ Prince
Sunshine (1/2P),½ Prince
Shinya Sugiki,10 Dance
Shinya Suzuki,10 Dance
Meguru Kamui,10 Days With My Devil
Rein Isaka,10 Days With My Devil
Shiki Kurobane,10 Days With My Devil
Adolph Jiang,10 Years That I Loved You the Most
Ivan Ai,10 Years That I Loved You the Most
Lewis He,10 Years That I Loved You the Most
Kaori (10nb),10-nen-buri Sex ga Oyako Sex de Kozukuri Sex made Shichau Okaa-san wa Suki desu ka?
Dylan Brady,100 gecs
Laura Les,100 gecs
Eri Kuronuma,100-nichi Go ni XXX suru Onna Shachou to Shinyuu Shain
Mai Shiramizu,100-nichi Go ni XXX suru Onna Shachou to Shinyuu Shain
Arnelle,100% Orange Juice
Cook,100% Orange Juice
Ellie (OJ),100% Orange Juice
Halena,100% Orange Juice
Kai (OJ),100% Orange Juice
Lulu (OJ),100% Orange Juice
Marie Poppo,100% Orange Juice
Maynie,100% Orange Juice
Mio (OJ),100% Orange Juice
Sweet Eater,100% Orange Juice
Clarence Ewan,100% Perfect Girl
Jarte Max,100% Perfect Girl
Jay Jin,100% Perfect Girl
Luigi Calpetti,100% Perfect Girl
Flasheart Lupin,100% Wolf
Freddy Lupin,100% Wolf
Shahryar,1001 Nights
Dolly,101 Dalmatian Street
Anita Radcliffe,101 Dalmatians
Devil Woman,101 Dalmatians
Jasper Badun,101 Dalmatians
Lars (101D),101 Dalmatians
Lucky (101D),101 Dalmatians
Perdita,101 Dalmatians
Pongo,101 Dalmatians
Roger Radcliffe,101 Dalmatians
Cadpig,101 Dalmatians: The Series
Lieutenant Pug,101 Dalmatians: The Series
Haruko Umezawa,10th -You and I Fell in Love With the Same Person.-
Shouta Takeuchi,10th -You and I Fell in Love With the Same Person.-
Youhei Matsuki,10th -You and I Fell in Love With the Same Person.-
Ema Tajima,11eyes: Tsumi to Batsu to Aganai no Shoujo
Kakeru Satsuki,11eyes: Tsumi to Batsu to Aganai no Shoujo
Kaori Natsuki,11eyes: Tsumi to Batsu to Aganai no Shoujo
Kukuri Tachibana,11eyes: Tsumi to Batsu to Aganai no Shoujo
Lieselotte Werckmeister,11eyes: Tsumi to Batsu to Aganai no Shoujo
Misuzu Kusakabe,11eyes: Tsumi to Batsu to Aganai no Shoujo
Shiori Momono,11eyes: Tsumi to Batsu to Aganai no Shoujo
Yuka Minase,11eyes: Tsumi to Batsu to Aganai no Shoujo
Yukiko Hirohara,11eyes: Tsumi to Batsu to Aganai no Shoujo
Fuuka Nonomiya,11gatsu no Arcadia
Aero (12B),12 Beast
Asterio,12 Beast
Cecaelian Steela,12 Beast
Flake,12 Beast
Theta (12B),12 Beast
Mouse Fitzgerald,12 oz. Mouse
Aoi Yui,12-sai.: Chicchana Mune no Tokimeki
Ayase Hanabi,12-sai.: Chicchana Mune no Tokimeki
Hiyama Kazuma,12-sai.: Chicchana Mune no Tokimeki
Takao Yuuto,12-sai.: Chicchana Mune no Tokimeki
The Follower,123 Slaughter Me Street
The Greeter,123 Slaughter Me Street
The Waiter,123 Slaughter Me Street
Narumi Mishima,12Riven -The Ψcliminal of Integral-
Renmaru Miyabidou,12Riven -The Ψcliminal of Integral-
Clay Jensen,13 Reasons Why
Hannah Baker,13 Reasons Why
BJ (13S),13 Sentinels: Aegis Rim
Chihiro Morimura,13 Sentinels: Aegis Rim
Ei Sekigahara,13 Sentinels: Aegis Rim
Erika Aiba,13 Sentinels: Aegis Rim
Iori Fuyusaka,13 Sentinels: Aegis Rim
Juro Izumi,13 Sentinels: Aegis Rim
Juro Kurabe,13 Sentinels: Aegis Rim
Keitaro Miura,13 Sentinels: Aegis Rim
Kyuta Shiba,13 Sentinels: Aegis Rim
Megumi Yakushiji,13 Sentinels: Aegis Rim
Miwako Sawatari,13 Sentinels: Aegis Rim
Miyuki Inaba,13 Sentinels: Aegis Rim
Natsuno Minami,13 Sentinels: Aegis Rim
Nenji Ogata,13 Sentinels: Aegis Rim
Renya Gouto,13 Sentinels: Aegis Rim
Ryoko Shinonome,13 Sentinels: Aegis Rim
Shu Amiguchi,13 Sentinels: Aegis Rim
Takatoshi Hijiyama,13 Sentinels: Aegis Rim
Tetsuya Ida,13 Sentinels: Aegis Rim
Tomi Kisaragi,13 Sentinels: Aegis Rim
Tsukasa Okino,13 Sentinels: Aegis Rim
Yuki Takamiya,13 Sentinels: Aegis Rim
Kanata Tanaka,14-sai no Koi
Kazuki Yoshikawa,14-sai no Koi
Ema Sanada,15 Bishoujo Hyouryuuki
Funako Chiba,15 Bishoujo Hyouryuuki
Haruna Takasaki,15 Bishoujo Hyouryuuki
Hikari Satake,15 Bishoujo Hyouryuuki
Kageko Satake,15 Bishoujo Hyouryuuki
Kotoko Yotsuya,15 Bishoujo Hyouryuuki
Meng Meng Li,15 Bishoujo Hyouryuuki
Misao Yoguruma,15 Bishoujo Hyouryuuki
Nanashi (15B),15 Bishoujo Hyouryuuki
Nogiku Nago,15 Bishoujo Hyouryuuki
Nozomi Takasaki,15 Bishoujo Hyouryuuki
QuIn (15B),15 Bishoujo Hyouryuuki
Sabatini Espresso,15 Bishoujo Hyouryuuki
Saori Asou,15 Bishoujo Hyouryuuki
Septem,15 Bishoujo Hyouryuuki
Akari Sawake,180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?
Shusui Kagami,180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?
Haruto Tsukishiro,18if
Lily (18if),18if
Brother Qiu,19 Days
He Cheng,19 Days
He Tian,19 Days
Jian Yi,19 Days
Little Mo,19 Days
She Li,19 Days
Xi Xi,19 Days
Zhan Zi Qian,19 Days
Arumu Hatanaka,1BeatHeart
Nomare Mizuchi,1BeatHeart
Shinobu Kasuga,1BeatHeart
Teruhi Yukisaku,1BeatHeart
Aira Tachibana,1bitHeart
Akashi Oihara,1bitHeart
Akitaka Kujoh,1bitHeart
Akuta Kamome,1bitHeart
Asuto Aizen,1bitHeart
Azusa Kujoh,1bitHeart
Chino Nasuki,1bitHeart
Enri Kumashiro,1bitHeart
Hakuhi Iogi,1bitHeart
Haruya Nasuki,1bitHeart
Heat (1bH),1bitHeart
Hiyu Mekami,1bitHeart
Human Potete,1bitHeart
Izuchi Nasuga,1bitHeart
Jin Chigaya,1bitHeart
Kaori Asahina,1bitHeart
Kirai Nasuga,1bitHeart
Kirara Akanagi,1bitHeart
Kiri Kuruga,1bitHeart
Kotora Yatano,1bitHeart
Kuroku Yakumo,1bitHeart
Mary Seno,1bitHeart
Meru Myoujou,1bitHeart
Meu Kanou,1bitHeart
Mikado Aisaka,1bitHeart
Misane Mikoto,1bitHeart
Misato Kusunose,1bitHeart
Miumi Miclairno Mizuki,1bitHeart
Momori Ono,1bitHeart
Moroku Hasuya & Hapitan,1bitHeart
Nasshi,1bitHeart
Natsukage Suoh,1bitHeart
Nio Amaha,1bitHeart
Nomiya Yosaka,1bitHeart
Potete,1bitHeart
Rocca Rion,1bitHeart
Ryuuri Kujoh,1bitHeart
Saaya Yukisuzu,1bitHeart
Sagara Sakuse,1bitHeart
Sakuma Suoh,1bitHeart
Sekiyu Hiiragi,1bitHeart
Shiren Kurusu,1bitHeart
Shiroro Yakumo,1bitHeart
Shitara Yakumo,1bitHeart
Sora Kamui,1bitHeart
Takamiya Kyouri,1bitHeart
Tobari Hikagari,1bitHeart
Yasune Nemochi,1bitHeart
Yoh,1bitHeart
Yukinaga Asagi,1bitHeart
Yuuto Oui,1bitHeart
Obi (1HP),1HP Club
Akane Misaki,1LDK+JK Ikinari Doukyo? Micchaku!? Hatsu Ecchi!!?
Yuu Serizawa (1R),1room
Akito Kanno,2.43: Seiin Koukou Danshi Volley-bu
Kimichika Haijima,2.43: Seiin Koukou Danshi Volley-bu
Misao Aoki,2.43: Seiin Koukou Danshi Volley-bu
Mitsuomi Ochi,2.43: Seiin Koukou Danshi Volley-bu
Shinichirou Oda,2.43: Seiin Koukou Danshi Volley-bu
Subaru Mimura,2.43: Seiin Koukou Danshi Volley-bu
Yuni Kuroba,2.43: Seiin Koukou Danshi Volley-bu
Lilliel,2.5 Dimensional Seduction
Mayura-sama,2.5 Dimensional Seduction
Miliella,2.5 Dimensional Seduction
Nagomi,2.5 Dimensional Seduction
Nonoa,2.5 Dimensional Seduction
HAL 9000,2001: A Space Odyssey
Crow (ROM),2064: Read Only Memories
Jess Meas,2064: Read Only Memories
Leon Dekker,2064: Read Only Memories
Lexi Rivers,2064: Read Only Memories
TOMCAT,2064: Read Only Memories
Turing,2064: Read Only Memories
Chouji Ochiai,20th Century Boys
Friend,20th Century Boys
Inshu Manjome,20th Century Boys
Kanna Endo,20th Century Boys
Kenji Endo,20th Century Boys
Kyoko Koizumi,20th Century Boys
Yoshitsune Minamoto (20thCB),20th Century Boys
Theresa (21),21st Century Knights
Nico (GW),25-ji no Ghost Writer
Tsugumi Higurashi,25-ji no Ghost Writer
Karen Minamisato,29 to JK
Flam Forses,29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta
Marl (29),29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta
CL,2NE1
Dara,2NE1
Minzy,2NE1
Park Bom,2NE1
Akari Kawamoto,3-gatsu no Lion
Chiho Sakura,3-gatsu no Lion
Eisaku Noguchi,3-gatsu no Lion
Fuku-chan,3-gatsu no Lion
Harunobu Nikaidou,3-gatsu no Lion
Hinata Kawamoto,3-gatsu no Lion
Ichigo-chan,3-gatsu no Lion
Issa Matsumoto,3-gatsu no Lion
Izumida,3-gatsu no Lion
Junkei Yamazaki,3-gatsu no Lion
Kai Shimada,3-gatsu no Lion
Kokubu,3-gatsu no Lion
Kuro-chan,3-gatsu no Lion
Kyouko Kouda,3-gatsu no Lion
Masamune Gotou,3-gatsu no Lion
Megumi Takagi,3-gatsu no Lion
Mike-chan,3-gatsu no Lion
Misaki (3nL),3-gatsu no Lion
Momo Kawamoto,3-gatsu no Lion
Money the 2nd,3-gatsu no Lion
Morio Shigeta,3-gatsu no Lion
Okuyasu Yokomizo,3-gatsu no Lion
Raidou Fujimoto,3-gatsu no Lion
Rei Kiriyama,3-gatsu no Lion
Sakutarou Yanagihara,3-gatsu no Lion
Shiro-chan,3-gatsu no Lion
Shouichi Matsunaga,3-gatsu no Lion
Someji Kawamoto,3-gatsu no Lion
Takanori Jinguuji,3-gatsu no Lion
Takashi Hayashida,3-gatsu no Lion
Takeshi Tsujii,3-gatsu no Lion
Tatsuyuki Misumi,3-gatsu no Lion
Touji Souya,3-gatsu no Lion
Yuusuke Takahashi,3-gatsu no Lion
Macaron (30-sai),30-sai no Hoken Taiiku
Manami Sugiura,300 En no Otsukiai
Calcetín Solo,31 Minutos
Dante Torobolino,31 Minutos
Eusebio Manguera,31 Minutos
Guaripolo,31 Minutos
Huachimingo,31 Minutos
Jackson Aceituno,31 Minutos
Juanín Juan Harry,31 Minutos
Mario Hugo,31 Minutos
Patana Tufillo,31 Minutos
Policarpo Avendaño,31 Minutos
Reportero Estrella de 31 Minutos,31 Minutos
Tulio Triviño Tufillo,31 Minutos
Zorro Buena Onda,31 Minutos
Mio Otaka,360° Material
Sunao Taki,360° Material
Aja Tarron,3Below: Tales of Arcadia
Krel Tarron,3Below: Tales of Arcadia
Luug,3Below: Tales of Arcadia
Varvatos Vex,3Below: Tales of Arcadia
Arisa Ishino,3D Kanojo
Hikari Tsutsui,3D Kanojo
Iroha Igarashi,3D Kanojo
Mitsuya Takanashi,3D Kanojo
Sumie Ayado,3D Kanojo
Yuuto Itou,3D Kanojo
Camila (3on3),3on3 Freestyle
Fei (3on3),3on3 Freestyle
Joey (3on3),3on3 Freestyle
Kim (3on3),3on3 Freestyle
Lulu (3on3),3on3 Freestyle
Mika (3on3),3on3 Freestyle
Alice Erzan,3Ping Lovers!
Frey Ringitt,3Ping Lovers!
Rachel Hafuringu,3Ping Lovers!
Parvati IV,3x3 Eyes
Yakumo Fujii,3x3 Eyes
Elda,4 Cut Hero
Jid Toben,4 Cut Hero
Regi Rugas,4 Cut Hero
Ruda,4 Cut Hero
Zena (4CH),4 Cut Hero
Dojun Jeong,4 Week Lovers
Jaehee Song,4 Week Lovers
Himeya Mayu,4-Leaf Clover
Isobe Yuzuha,4-Leaf Clover
Tsukabe Ryu,4-Leaf Clover
Chiyo (4SUT),4-nin wa Sorezore Uso wo Tsuku
Rikka (4SUT),4-nin wa Sorezore Uso wo Tsuku
Sekine,4-nin wa Sorezore Uso wo Tsuku
Tsubasa (4SUT),4-nin wa Sorezore Uso wo Tsuku
Mean Clean,428: Shibuya Scramble
Misuki Sugawara,5 Days To Impregnate (As A Surrogate) The Aunt I Used To Have A Crush On
Bore Loftur,5 Elementos
Kaji Llamaviva,5 Elementos
Lluvia Aquarrica,5 Elementos
Mat (5E),5 Elementos
Rubeola Rattengift,5 Elementos
Sôkar Was,5 Elementos
Zap,5 Elementos
Akemi,5 Nenme no Houkago
Himeru (5NnH),5 Nenme no Houkago
Hiromi Miyaguchi,5 Nenme no Houkago
Ichika (5NnH),5 Nenme no Houkago
Kanna Miyaguchi,5 Nenme no Houkago
Kei Miyaguchi,5 Nenme no Houkago
Kurumi (5NnH),5 Nenme no Houkago
Nagisa (5NnH),5 Nenme no Houkago
Shizuku,5 Nenme no Houkago
Lilith (5S),5 Seconds Before the Witch Falls in Love
Meg,5 Seconds Before the Witch Falls in Love
Ashton Irwin,5 Seconds of Summer
Calum Hood,5 Seconds of Summer
Luke Hemmings,5 Seconds of Summer
Michael Clifford,5 Seconds of Summer
Domestically Violent Meatbun Monster,5-toubun no Hanayome
Fuu-kun,5-toubun no Hanayome
Ichika Nakano,5-toubun no Hanayome
Isanari Uesugi,5-toubun no Hanayome
Maeda (QQ),5-toubun no Hanayome
Maruo Nakano,5-toubun no Hanayome
Miku Nakano,5-toubun no Hanayome
Nino Nakano,5-toubun no Hanayome
Raiha Uesugi,5-toubun no Hanayome
Rena Nakano,5-toubun no Hanayome
Yotsuba Nakano,5-toubun no Hanayome
Ted McDoodle,60 Seconds!
Jamie Welton,"66,666 Years: Advent of the Dark Mage"
Ball,666 Satan
Jio Freed,666 Satan
Ruby Crescent,666 Satan
Caitlin Cooke,6Teen
Courtney Masterson,6Teen
Crissy,6Teen
Jen Masterson,6Teen
Jonesy Garcia,6Teen
Jude Lizowski,6Teen
Kirsten (6T),6Teen
Kristen,6Teen
Nikki Wong,6Teen
Wyatt Williams,6Teen
Arashi Aota,7 Seeds
Hana Sugurono,7 Seeds
Haru Yukima,7 Seeds
Natsu Iwashimizu,7 Seeds
Ryo (7S),7 Seeds
Semimaru Asai,7 Seeds
Takahiro Aramaki,7 Seeds
Saeki Azumi,7-jikanme no Note
Hino Kagutsuchi,7'Scarlet
Isora Amari,7'Scarlet
Sosuke Tatehira,7'Scarlet
Toa Kushinada,7'Scarlet
Yuzuki Murakumo,7'Scarlet
Kirell,7Days - Choose your story
Cein,7FATES: CHAKHO
Do-Geon,7FATES: CHAKHO
Haru (FC),7FATES: CHAKHO
Hosu,7FATES: CHAKHO
Hwan (FC),7FATES: CHAKHO
Jooan,7FATES: CHAKHO
Zeha,7FATES: CHAKHO
Aria Lockwarde,7th
Chicken Dickwad,7th
Novem Forxuz,7th
Poyopoyo,7th
Shannon Circry,7th
Emel,7th Dragon
Harukara,7th Dragon
Ikarakun,7th Dragon
Momomeno,7th Dragon
Aoi Unose,7th Dragon 2020
Hacker (M),7th Dragon 2020
Kirika Kii,7th Dragon 2020
Miina,7th Dragon 2020
Tsubaki Kujo,7th Dragon 2020
Chika Tachibana,7th Dragon III Code: VFD
Mio Nagumo,7th Dragon III Code: VFD
Nagamimi,7th Dragon III Code: VFD
Yaiba (7th),7th Dragon III Code: VFD
Arnold Hyne,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!
Rishe Irmgard Vuetzner,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!
Awyn Gardener,7thGARDEN
Belpha Phoglette,7thGARDEN
Leviath,7thGARDEN
Lokihel,7thGARDEN
Vulpes,7thGARDEN
Vyrde,7thGARDEN
Alumi Koga,8 beat Story
Amor (8bS),8 beat Story
Bellum,8 beat Story
Cwellan,8 beat Story
Mint Koga,8 beat Story
Hachiro Azuma,8 Man
Hasshaku-sama,8-shaku 8-wa Kerakumeguri: Igyou Kaikitan
Accardi Florentino,8:11
Juliek Octavia,8:11
Ryker Dublin,8:11
Vittorino,8:11
Anju Emma,86 -Eighty Six-
Annette (86),86 -Eighty Six-
Ernst Zimmerman,86 -Eighty Six-
Eugene Rantz,86 -Eighty Six-
Fido (86),86 -Eighty Six-
Frederica Rosenfort,86 -Eighty Six-
Grethe Wenzel,86 -Eighty Six-
Haruto Keats,86 -Eighty Six-
Kiriya Nouzen,86 -Eighty Six-
Kirschblüte,86 -Eighty Six-
Kurena Kukumila,86 -Eighty Six-
Lerche,86 -Eighty Six-
Raiden Shuga,86 -Eighty Six-
Reki Michihi,86 -Eighty Six-
Shiden Iida,86 -Eighty Six-
Shinei Nouzen,86 -Eighty Six-
Theoto Rikka,86 -Eighty Six-
Viktor Idinarohk,86 -Eighty Six-
Vladilena Milizé,86 -Eighty Six-
Bluegirl,8eyes
Greengirl,8eyes
Infectiongirl,8eyes
Magentagirl,8eyes
Nursegirl,8eyes
Organicgirl,8eyes
Rainbogirl,8eyes
Yellowgirl,8eyes
Ghost (9N),9 -Nine-
Haruka Kousaka,9 -Nine-
Kakeru Niimi,9 -Nine-
Miyako Kujou,9 -Nine-
Parfait Queen,9 -Nine-
Renya Takamine,9 -Nine-
Satsuki Naruse,9 -Nine-
Sophitia (9N),9 -Nine-
Sora Niimi,9 -Nine-
Yoichi Fukazawa,9 -Nine-
Angelo Lagusa,91 Days
Cerotto,91 Days
Corteo,91 Days
Fango,91 Days
Fio Vanetti,91 Days
Frate Vanetti,91 Days
Nero Vanetti,91 Days
Vanno Clemente,91 Days
Vincent Vanetti,91 Days
Hana Venom,920London
Ohn So-you,A Beloved Existence
Park Jaeha,A Beloved Existence
Bird (ABS),A Bird Story
Colin Reeds,A Bird Story
Flik,A Bug's Life
Heimlich,A Bug's Life
Ebenezer Scrooge,A Christmas Carol
Alex DeLarge,A Clockwork Orange
Andhera,A Court of Fey & Flowers
BINX Choppley,A Court of Fey & Flowers
Amren,A Court of Thorns and Roses
Azriel (ACTR),A Court of Thorns and Roses
Cassian,A Court of Thorns and Roses
Elain Archeron,A Court of Thorns and Roses
Feyre Archeron,A Court of Thorns and Roses
Lucien Vanserra,A Court of Thorns and Roses
Morrigan (ACTR),A Court of Thorns and Roses
Nesta Archeron,A Court of Thorns and Roses
Rhysand,A Court of Thorns and Roses
Tamlin,A Court of Thorns and Roses
Chancellor Lapin Cadbury,A Crown of Candy
Cumulous Rocks,A Crown of Candy
King Amethar,A Crown of Candy
Peppermint Batman,A Crown of Candy
Princess Jet Rocks,A Crown of Candy
Princess Ruby Rocks,A Crown of Candy
Queen Saccharina Frostwhip,A Crown of Candy
Sir Theobald Gumbar,A Crown of Candy
Charla Tan,A Dance of Fire and Ice
The Overseer (ADoFaI),A Dance of Fire and Ice
Ha Eun,A Day Before Us
Kim Wook,A Day Before Us
Seo Yena,A Day Before Us
Yeo Reum,A Day Before Us
Yeon Woo,A Day Before Us
Barkley,A Demon's Contract
